"","X1","Name","Country","Runs","Mins","BF","4s","6s","SR","POS","Dismissal","Inns","Team","Ground","Date","cum_rpi"
"1",0,"Ricky Ponting","Australia",96,"236","184","8","0","52.17","5","lbw",2,"Sri Lanka","Perth",1995-12-08,96
"2",1,"Ricky Ponting","Australia",71,"125","94","9","1","75.53","6","caught",1,"Sri Lanka","Melbourne",1995-12-26,83.5
"3",3,"Ricky Ponting","Australia",6,"31","27","0","0","22.22","6","caught",1,"Sri Lanka","Adelaide",1996-01-25,57.6666666666667
"4",4,"Ricky Ponting","Australia",20,"64","61","2","0","32.78","6","caught",3,"Sri Lanka","Adelaide",1996-01-25,48.25
"5",5,"Ricky Ponting","Australia",14,"47","48","1","0","29.16","3","bowled",1,"India","Delhi",1996-10-10,41.4
"6",6,"Ricky Ponting","Australia",13,"25","21","2","0","61.90","3","bowled",3,"India","Delhi",1996-10-10,36.6666666666667
"7",7,"Ricky Ponting","Australia",88,"208","150","10","1","58.66","3","caught",1,"West Indies","Brisbane",1996-11-22,44
"8",8,"Ricky Ponting","Australia",9,"43","28","1","0","32.14","3","caught",3,"West Indies","Brisbane",1996-11-22,39.625
"9",9,"Ricky Ponting","Australia",9,"42","28","1","0","32.14","3","caught",1,"West Indies","Sydney",1996-11-29,36.2222222222222
"10",10,"Ricky Ponting","Australia",4,"29","22","0","0","18.18","3","caught",3,"West Indies","Sydney",1996-11-29,33
"11",11,"Ricky Ponting","Australia",127,"261","202","16","1","62.87","6","caught",2,"England","Leeds",1997-07-24,41.5454545454545
"12",12,"Ricky Ponting","Australia",9,"15","15","1","0","60.00","6","bowled",1,"England","Nottingham",1997-08-07,38.8333333333333
"13",13,"Ricky Ponting","Australia",45,"168","131","4","0","34.35","6","caught",3,"England","Nottingham",1997-08-07,39.3076923076923
"14",14,"Ricky Ponting","Australia",40,"134","96","3","1","41.66","6","caught",2,"England","The Oval",1997-08-21,39.3571428571429
"15",15,"Ricky Ponting","Australia",20,"47","35","3","0","57.14","6","lbw",4,"England","The Oval",1997-08-21,38.0666666666667
"16",16,"Ricky Ponting","Australia",26,"72","56","3","0","46.42","6","caught",1,"New Zealand","Brisbane",1997-11-07,37.3125
"17",17,"Ricky Ponting","Australia",73,"119","85","7","2","85.88","7","not out",3,"New Zealand","Brisbane",1997-11-07,39.4117647058824
"18",18,"Ricky Ponting","Australia",16,"40","31","2","0","51.61","7","caught",2,"New Zealand","Perth",1997-11-20,38.1111111111111
"19",19,"Ricky Ponting","Australia",4,"34","23","0","0","17.39","6","caught",1,"New Zealand","Hobart",1997-11-27,36.3157894736842
"20",21,"Ricky Ponting","Australia",105,"269","208","14","0","50.48","6","bowled",1,"South Africa","Melbourne",1997-12-26,39.75
"21",22,"Ricky Ponting","Australia",32,"113","84","2","0","38.09","6","caught",3,"South Africa","Melbourne",1997-12-26,39.3809523809524
"22",23,"Ricky Ponting","Australia",62,"219","155","1","1","40.00","6","caught",2,"South Africa","Sydney",1998-01-02,40.4090909090909
"23",24,"Ricky Ponting","Australia",26,"97","72","4","0","36.11","6","bowled",2,"South Africa","Adelaide",1998-01-30,39.7826086956522
"24",25,"Ricky Ponting","Australia",23,"118","84","3","0","27.38","6","caught",4,"South Africa","Adelaide",1998-01-30,39.0833333333333
"25",26,"Ricky Ponting","Australia",18,"50","34","1","0","52.94","5","caught",2,"India","Chennai",1998-03-06,38.24
"26",27,"Ricky Ponting","Australia",2,"9","7","0","0","28.57","7","lbw",4,"India","Chennai",1998-03-06,36.8461538461538
"27",28,"Ricky Ponting","Australia",60,"149","127","7","0","47.24","6","bowled",1,"India","Kolkata",1998-03-18,37.7037037037037
"28",29,"Ricky Ponting","Australia",9,"40","25","1","0","36.00","5","caught",3,"India","Kolkata",1998-03-18,36.6785714285714
"29",30,"Ricky Ponting","Australia",16,"27","30","0","0","53.33","6","caught",2,"India","Bengaluru",1998-03-25,35.9655172413793
"30",32,"Ricky Ponting","Australia",76,"166","147","6","0","51.70","6","not out",1,"Pakistan","Peshawar",1998-10-15,37.3
"31",33,"Ricky Ponting","Australia",43,"83","88","3","0","48.86","6","lbw",3,"Pakistan","Peshawar",1998-10-15,37.4838709677419
"32",34,"Ricky Ponting","Australia",21,"94","61","1","0","34.42","6","caught",1,"England","Brisbane",1998-11-20,36.96875
"33",36,"Ricky Ponting","Australia",11,"32","18","0","0","61.11","7","caught",2,"England","Perth",1998-11-28,36.1818181818182
"34",38,"Ricky Ponting","Australia",5,"32","28","0","0","17.85","6","caught",1,"England","Adelaide",1998-12-11,35.2647058823529
"35",39,"Ricky Ponting","Australia",10,"42","30","1","0","33.33","6","bowled",3,"England","Adelaide",1998-12-11,34.5428571428571
"36",40,"Ricky Ponting","Australia",104,"376","290","10","0","35.86","6","caught",1,"West Indies","Bridgetown",1999-03-26,36.4722222222222
"37",41,"Ricky Ponting","Australia",22,"141","76","1","0","28.94","7","caught",3,"West Indies","Bridgetown",1999-03-26,36.0810810810811
"38",42,"Ricky Ponting","Australia",21,"90","72","2","0","29.16","6","lbw",1,"West Indies","St John's",1999-04-03,35.6842105263158
"39",43,"Ricky Ponting","Australia",21,"104","82","0","1","25.60","6","not out",3,"West Indies","St John's",1999-04-03,35.3076923076923
"40",44,"Ricky Ponting","Australia",96,"243","160","10","1","60.00","6","caught",1,"Sri Lanka","Kandy",1999-09-09,36.825
"41",45,"Ricky Ponting","Australia",51,"136","118","4","1","43.22","5","caught",3,"Sri Lanka","Kandy",1999-09-09,37.1707317073171
"42",46,"Ricky Ponting","Australia",1,"10","12","0","0","8.33","7","caught",2,"Sri Lanka","Galle",1999-09-22,36.3095238095238
"43",47,"Ricky Ponting","Australia",105,"222","171","11","0","61.40","6","not out",1,"Sri Lanka","Colombo (SSC)",1999-09-30,37.906976744186
"44",48,"Ricky Ponting","Australia",31,"100","82","3","0","37.80","6","caught",2,"Zimbabwe","Harare",1999-10-14,37.75
"45",50,"Ricky Ponting","Australia",0,"13","7","0","0","0.00","6","lbw",2,"Pakistan","Brisbane",1999-11-05,36.9111111111111
"46",52,"Ricky Ponting","Australia",0,"13","3","0","0","0.00","6","bowled",2,"Pakistan","Hobart",1999-11-18,36.1086956521739
"47",53,"Ricky Ponting","Australia",0,"5","5","0","0","0.00","6","lbw",4,"Pakistan","Hobart",1999-11-18,35.3404255319149
"48",54,"Ricky Ponting","Australia",197,"420","288","22","0","68.40","6","caught",2,"Pakistan","Perth",1999-11-26,38.7083333333333
"49",55,"Ricky Ponting","Australia",125,"275","198","15","0","63.13","6","run out",1,"India","Adelaide",1999-12-10,40.469387755102
"50",56,"Ricky Ponting","Australia",21,"68","54","2","0","38.88","6","caught",3,"India","Adelaide",1999-12-10,40.08
"51",57,"Ricky Ponting","Australia",67,"166","85","5","0","78.82","6","lbw",1,"India","Melbourne",1999-12-26,40.6078431372549
"52",58,"Ricky Ponting","Australia",21,"42","32","1","0","65.62","7","not out",3,"India","Melbourne",1999-12-26,40.2307692307692
"53",59,"Ricky Ponting","Australia",141,"262","183","17","1","77.04","6","not out",2,"India","Sydney",2000-01-02,42.1320754716981
"54",60,"Ricky Ponting","Australia",20,"63","42","2","0","47.61","7","caught",2,"West Indies","Brisbane",2000-11-23,41.7222222222222
"55",61,"Ricky Ponting","Australia",5,"33","20","0","0","25.00","7","bowled",2,"West Indies","Perth",2000-12-01,41.0545454545455
"56",62,"Ricky Ponting","Australia",92,"232","156","10","0","58.97","6","caught",2,"West Indies","Adelaide",2000-12-15,41.9642857142857
"57",63,"Ricky Ponting","Australia",11,"26","15","1","0","73.33","5","lbw",4,"West Indies","Adelaide",2000-12-15,41.4210526315789
"58",64,"Ricky Ponting","Australia",23,"47","30","5","0","76.66","6","caught",1,"West Indies","Melbourne",2000-12-26,41.1034482758621
"59",65,"Ricky Ponting","Australia",26,"22","24","5","0","108.33","7","not out",3,"West Indies","Melbourne",2000-12-26,40.8474576271186
"60",66,"Ricky Ponting","Australia",51,"160","120","5","0","42.50","6","lbw",2,"West Indies","Sydney",2001-01-02,41.0166666666667
"61",67,"Ricky Ponting","Australia",14,"28","32","2","0","43.75","6","not out",4,"West Indies","Sydney",2001-01-02,40.5737704918033
"62",68,"Ricky Ponting","Australia",0,"5","5","0","0","0.00","6","caught",2,"India","Mumbai",2001-02-27,39.9193548387097
"63",70,"Ricky Ponting","Australia",6,"22","12","1","0","50.00","6","lbw",1,"India","Kolkata",2001-03-11,39.3809523809524
"64",71,"Ricky Ponting","Australia",0,"3","4","0","0","0.00","6","caught",4,"India","Kolkata",2001-03-11,38.765625
"65",72,"Ricky Ponting","Australia",0,"2","1","0","0","0.00","6","stumped",1,"India","Chennai",2001-03-18,38.1692307692308
"66",73,"Ricky Ponting","Australia",11,"29","25","0","1","44.00","7","caught",3,"India","Chennai",2001-03-18,37.7575757575758
"67",74,"Ricky Ponting","Australia",11,"23","13","2","0","84.61","3","lbw",2,"England","Birmingham",2001-07-05,37.3582089552239
"68",75,"Ricky Ponting","Australia",14,"14","12","3","0","116.66","3","caught",2,"England","Lord's",2001-07-19,37.0147058823529
"69",76,"Ricky Ponting","Australia",4,"2","3","0","0","133.33","3","lbw",4,"England","Lord's",2001-07-19,36.536231884058
"70",77,"Ricky Ponting","Australia",14,"32","20","3","0","70.00","3","caught",2,"England","Nottingham",2001-08-02,36.2142857142857
"71",78,"Ricky Ponting","Australia",17,"34","31","3","0","54.83","3","caught",4,"England","Nottingham",2001-08-02,35.943661971831
"72",79,"Ricky Ponting","Australia",144,"211","154","20","3","93.50","3","caught",1,"England","Leeds",2001-08-16,37.4444444444444
"73",80,"Ricky Ponting","Australia",72,"91","72","10","1","100.00","3","lbw",3,"England","Leeds",2001-08-16,37.9178082191781
"74",81,"Ricky Ponting","Australia",62,"126","102","8","0","60.78","3","caught",1,"England","The Oval",2001-08-23,38.2432432432432
"75",82,"Ricky Ponting","Australia",5,"9","7","0","0","71.42","3","caught",1,"New Zealand","Brisbane",2001-11-08,37.8
"76",83,"Ricky Ponting","Australia",32,"39","29","2","1","110.34","3","not out",3,"New Zealand","Brisbane",2001-11-08,37.7236842105263
"77",84,"Ricky Ponting","Australia",157,"309","218","20","1","72.01","3","not out",1,"New Zealand","Hobart",2001-11-22,39.2727272727273
"78",85,"Ricky Ponting","Australia",31,"46","37","7","0","83.78","3","caught",2,"New Zealand","Perth",2001-11-30,39.1666666666667
"79",86,"Ricky Ponting","Australia",26,"44","26","5","0","100.00","3","bowled",4,"New Zealand","Perth",2001-11-30,39
"80",87,"Ricky Ponting","Australia",54,"119","86","4","0","62.79","3","run out",1,"South Africa","Adelaide",2001-12-14,39.1875
"81",88,"Ricky Ponting","Australia",25,"67","48","4","0","52.08","3","lbw",3,"South Africa","Adelaide",2001-12-14,39.0123456790123
"82",89,"Ricky Ponting","Australia",22,"54","38","3","0","57.89","3","caught",2,"South Africa","Melbourne",2001-12-26,38.8048780487805
"83",90,"Ricky Ponting","Australia",0,"6","2","0","0","0.00","3","not out",4,"South Africa","Melbourne",2001-12-26,38.3373493975904
"84",91,"Ricky Ponting","Australia",14,"28","19","3","0","73.68","3","run out",1,"South Africa","Sydney",2002-01-02,38.0476190476191
"85",93,"Ricky Ponting","Australia",39,"58","43","6","0","90.69","3","caught",1,"South Africa","Johannesburg",2002-02-22,38.0588235294118
"86",94,"Ricky Ponting","Australia",47,"116","69","5","1","68.11","3","caught",2,"South Africa","Cape Town",2002-03-08,38.1627906976744
"87",95,"Ricky Ponting","Australia",100,"261","160","16","1","62.50","3","not out",4,"South Africa","Cape Town",2002-03-08,38.8735632183908
"88",96,"Ricky Ponting","Australia",89,"154","100","16","0","89.00","3","run out",1,"South Africa","Durban",2002-03-15,39.4431818181818
"89",97,"Ricky Ponting","Australia",34,"60","32","6","0","106.25","3","caught",3,"South Africa","Durban",2002-03-15,39.3820224719101
"90",98,"Ricky Ponting","Australia",141,"259","163","23","0","86.50","3","caught",1,"Pakistan","Colombo (PSS)",2002-10-03,40.5111111111111
"91",99,"Ricky Ponting","Australia",7,"24","12","1","0","58.33","3","bowled",3,"Pakistan","Colombo (PSS)",2002-10-03,40.1428571428571
"92",100,"Ricky Ponting","Australia",44,"95","65","4","1","67.69","3","lbw",2,"Pakistan","Sharjah",2002-10-11,40.1847826086956
"93",101,"Ricky Ponting","Australia",150,"395","266","14","3","56.39","3","bowled",1,"Pakistan","Sharjah",2002-10-19,41.3655913978495
"94",102,"Ricky Ponting","Australia",123,"253","195","12","2","63.07","3","bowled",1,"England","Brisbane",2002-11-07,42.2340425531915
"95",103,"Ricky Ponting","Australia",3,"17","11","0","0","27.27","3","caught",3,"England","Brisbane",2002-11-07,41.821052631579
"96",104,"Ricky Ponting","Australia",154,"349","269","9","0","57.24","3","caught",2,"England","Adelaide",2002-11-21,42.9895833333333
"97",105,"Ricky Ponting","Australia",68,"125","82","10","1","82.92","3","bowled",2,"England","Perth",2002-11-29,43.2474226804124
"98",106,"Ricky Ponting","Australia",21,"40","32","3","0","65.62","3","bowled",1,"England","Melbourne",2002-12-26,43.0204081632653
"99",107,"Ricky Ponting","Australia",30,"41","35","3","1","85.71","3","caught",4,"England","Melbourne",2002-12-26,42.8888888888889
"100",108,"Ricky Ponting","Australia",7,"8","6","1","0","116.66","3","caught",2,"England","Sydney",2003-01-02,42.53
"101",109,"Ricky Ponting","Australia",11,"17","16","2","0","68.75","4","lbw",4,"England","Sydney",2003-01-02,42.2178217821782
"102",110,"Ricky Ponting","Australia",117,"292","195","18","0","60.00","3","caught",2,"West Indies","Georgetown",2003-04-10,42.9509803921569
"103",111,"Ricky Ponting","Australia",42,"68","66","4","1","63.63","3","not out",4,"West Indies","Georgetown",2003-04-10,42.9417475728155
"104",112,"Ricky Ponting","Australia",206,"491","362","24","1","56.90","3","stumped",1,"West Indies","Port of Spain",2003-04-19,44.5096153846154
"105",113,"Ricky Ponting","Australia",45,"144","104","4","0","43.26","3","caught",3,"West Indies","Port of Spain",2003-04-19,44.5142857142857
"106",114,"Ricky Ponting","Australia",113,"300","204","8","1","55.39","3","run out",1,"West Indies","Bridgetown",2003-05-01,45.1603773584906
"107",116,"Ricky Ponting","Australia",10,"45","28","1","0","35.71","3","caught",2,"Bangladesh","Darwin",2003-07-18,44.8317757009346
"108",117,"Ricky Ponting","Australia",59,"120","79","10","1","74.68","3","caught",2,"Bangladesh","Cairns",2003-07-25,44.962962962963
"109",118,"Ricky Ponting","Australia",37,"91","65","6","0","56.92","3","lbw",1,"Zimbabwe","Perth",2003-10-09,44.8899082568807
"110",119,"Ricky Ponting","Australia",169,"314","249","23","2","67.87","3","bowled",2,"Zimbabwe","Sydney",2003-10-17,46.0181818181818
"111",120,"Ricky Ponting","Australia",53,"115","71","8","0","74.64","3","not out",4,"Zimbabwe","Sydney",2003-10-17,46.0810810810811
"112",121,"Ricky Ponting","Australia",54,"125","88","7","1","61.36","3","caught",1,"India","Brisbane",2003-12-04,46.1517857142857
"113",122,"Ricky Ponting","Australia",50,"111","75","5","0","66.66","3","caught",3,"India","Brisbane",2003-12-04,46.1858407079646
"114",123,"Ricky Ponting","Australia",242,"508","352","31","0","68.75","3","caught",1,"India","Adelaide",2003-12-12,47.9035087719298
"115",124,"Ricky Ponting","Australia",0,"19","17","0","0","0.00","3","caught",3,"India","Adelaide",2003-12-12,47.4869565217391
"116",125,"Ricky Ponting","Australia",257,"590","458","25","0","56.11","3","stumped",2,"India","Melbourne",2003-12-26,49.2931034482759
"117",126,"Ricky Ponting","Australia",31,"73","59","3","0","52.54","3","not out",4,"India","Melbourne",2003-12-26,49.1367521367521
"118",127,"Ricky Ponting","Australia",25,"68","48","2","0","52.08","3","lbw",2,"India","Sydney",2004-01-02,48.9322033898305
"119",128,"Ricky Ponting","Australia",47,"146","104","7","0","45.19","3","caught",4,"India","Sydney",2004-01-02,48.9159663865546
"120",129,"Ricky Ponting","Australia",21,"40","39","4","0","53.84","3","stumped",1,"Sri Lanka","Galle",2004-03-08,48.6833333333333
"121",130,"Ricky Ponting","Australia",28,"110","78","2","0","35.89","3","run out",3,"Sri Lanka","Galle",2004-03-08,48.5123966942149
"122",131,"Ricky Ponting","Australia",10,"17","11","2","0","90.90","3","lbw",1,"Sri Lanka","Kandy",2004-03-16,48.1967213114754
"123",132,"Ricky Ponting","Australia",27,"74","49","2","1","55.10","6","caught",3,"Sri Lanka","Kandy",2004-03-16,48.0243902439024
"124",133,"Ricky Ponting","Australia",92,"191","138","11","1","66.66","3","caught",1,"Sri Lanka","Colombo (SSC)",2004-03-24,48.3790322580645
"125",134,"Ricky Ponting","Australia",20,"48","36","2","0","55.55","3","caught",3,"Sri Lanka","Colombo (SSC)",2004-03-24,48.152
"126",135,"Ricky Ponting","Australia",22,"32","27","3","0","81.48","3","caught",1,"Sri Lanka","Cairns",2004-07-09,47.9444444444444
"127",136,"Ricky Ponting","Australia",45,"122","109","3","1","41.28","3","caught",3,"Sri Lanka","Cairns",2004-07-09,47.9212598425197
"128",137,"Ricky Ponting","Australia",11,"29","19","1","0","57.89","3","lbw",2,"India","Mumbai",2004-11-03,47.6328125
"129",138,"Ricky Ponting","Australia",12,"20","15","2","0","80.00","3","caught",4,"India","Mumbai",2004-11-03,47.3565891472868
"130",139,"Ricky Ponting","Australia",51,"116","84","7","0","60.71","3","caught",2,"New Zealand","Brisbane",2004-11-18,47.3846153846154
"131",140,"Ricky Ponting","Australia",68,"96","79","11","0","86.07","3","stumped",1,"New Zealand","Adelaide",2004-11-26,47.5419847328244
"132",141,"Ricky Ponting","Australia",26,"82","57","0","0","45.61","3","not out",3,"New Zealand","Adelaide",2004-11-26,47.3787878787879
"133",142,"Ricky Ponting","Australia",25,"75","54","2","0","46.29","3","bowled",1,"Pakistan","Perth",2004-12-16,47.2105263157895
"134",143,"Ricky Ponting","Australia",98,"233","176","13","0","55.68","3","stumped",3,"Pakistan","Perth",2004-12-16,47.589552238806
"135",144,"Ricky Ponting","Australia",7,"22","9","1","0","77.77","3","caught",2,"Pakistan","Melbourne",2004-12-26,47.2888888888889
"136",145,"Ricky Ponting","Australia",62,"102","91","5","1","68.13","3","not out",4,"Pakistan","Melbourne",2004-12-26,47.3970588235294
"137",146,"Ricky Ponting","Australia",207,"491","332","30","0","62.34","3","bowled",2,"Pakistan","Sydney",2005-01-02,48.5620437956204
"138",147,"Ricky Ponting","Australia",4,"1","1","1","0","400.00","3","not out",4,"Pakistan","Sydney",2005-01-02,48.2391304347826
"139",148,"Ricky Ponting","Australia",46,"121","104","6","1","44.23","3","caught",2,"New Zealand","Christchurch",2005-03-10,48.2230215827338
"140",149,"Ricky Ponting","Australia",47,"93","75","7","1","62.66","3","not out",4,"New Zealand","Christchurch",2005-03-10,48.2142857142857
"141",150,"Ricky Ponting","Australia",9,"36","30","0","0","30.00","3","lbw",1,"New Zealand","Wellington",2005-03-18,47.936170212766
"142",151,"Ricky Ponting","Australia",105,"154","110","13","4","95.45","3","caught",2,"New Zealand","Auckland",2005-03-26,48.3380281690141
"143",152,"Ricky Ponting","Australia",86,"113","84","12","2","102.38","3","not out",4,"New Zealand","Auckland",2005-03-26,48.6013986013986
"144",153,"Ricky Ponting","Australia",9,"38","18","1","0","50.00","3","caught",1,"England","Lord's",2005-07-21,48.3263888888889
"145",154,"Ricky Ponting","Australia",42,"100","65","3","0","64.61","3","caught",3,"England","Lord's",2005-07-21,48.2827586206897
"146",155,"Ricky Ponting","Australia",61,"87","76","12","0","80.26","3","caught",2,"England","Birmingham",2005-08-04,48.3698630136986
"147",156,"Ricky Ponting","Australia",0,"4","5","0","0","0.00","3","caught",4,"England","Birmingham",2005-08-04,48.0408163265306
"148",157,"Ricky Ponting","Australia",7,"20","12","1","0","58.33","3","caught",2,"England","Manchester",2005-08-11,47.7635135135135
"149",158,"Ricky Ponting","Australia",156,"411","275","16","1","56.72","3","caught",4,"England","Manchester",2005-08-11,48.489932885906
"150",159,"Ricky Ponting","Australia",1,"6","6","0","0","16.66","3","lbw",2,"England","Nottingham",2005-08-25,48.1733333333333
"151",160,"Ricky Ponting","Australia",48,"137","89","3","1","53.93","3","run out",3,"England","Nottingham",2005-08-25,48.1721854304636
"152",161,"Ricky Ponting","Australia",35,"81","56","3","0","62.50","3","caught",2,"England","The Oval",2005-09-08,48.0855263157895
"153",163,"Ricky Ponting","Australia",46,"96","76","6","1","60.52","3","caught",1,"ICC World XI","Sydney",2005-10-14,48.0718954248366
"154",164,"Ricky Ponting","Australia",54,"189","111","4","0","48.64","3","caught",3,"ICC World XI","Sydney",2005-10-14,48.1103896103896
"155",165,"Ricky Ponting","Australia",149,"316","213","15","0","69.95","3","caught",1,"West Indies","Brisbane",2005-11-03,48.7612903225806
"156",166,"Ricky Ponting","Australia",104,"182","158","8","0","65.82","3","not out",3,"West Indies","Brisbane",2005-11-03,49.1153846153846
"157",167,"Ricky Ponting","Australia",17,"43","40","2","0","42.50","3","bowled",2,"West Indies","Hobart",2005-11-17,48.9108280254777
"158",168,"Ricky Ponting","Australia",0,"2","3","0","0","0.00","3","not out",4,"West Indies","Hobart",2005-11-17,48.6012658227848
"159",169,"Ricky Ponting","Australia",56,"168","122","6","0","45.90","3","lbw",2,"West Indies","Adelaide",2005-11-25,48.6477987421384
"160",170,"Ricky Ponting","Australia",3,"20","17","0","0","17.64","3","caught",4,"West Indies","Adelaide",2005-11-25,48.3625
"161",171,"Ricky Ponting","Australia",71,"155","107","12","0","66.35","3","lbw",1,"South Africa","Perth",2005-12-16,48.5031055900621
"162",172,"Ricky Ponting","Australia",53,"161","106","4","0","50.00","4","caught",3,"South Africa","Perth",2005-12-16,48.5308641975309
"163",173,"Ricky Ponting","Australia",117,"298","198","13","0","59.09","3","caught",1,"South Africa","Melbourne",2005-12-26,48.9509202453988
"164",174,"Ricky Ponting","Australia",11,"48","29","0","0","37.93","3","lbw",3,"South Africa","Melbourne",2005-12-26,48.719512195122
"165",175,"Ricky Ponting","Australia",120,"257","174","12","1","68.96","3","lbw",2,"South Africa","Sydney",2006-01-02,49.1515151515151
"166",176,"Ricky Ponting","Australia",143,"202","159","16","0","89.93","3","not out",4,"South Africa","Sydney",2006-01-02,49.7168674698795
"167",177,"Ricky Ponting","Australia",74,"178","112","8","1","66.07","3","caught",2,"South Africa","Cape Town",2006-03-16,49.8622754491018
"168",178,"Ricky Ponting","Australia",1,"13","4","0","0","25.00","3","lbw",4,"South Africa","Cape Town",2006-03-16,49.5714285714286
"169",179,"Ricky Ponting","Australia",103,"320","225","11","0","45.77","3","caught",1,"South Africa","Durban",2006-03-24,49.887573964497
"170",180,"Ricky Ponting","Australia",116,"273","187","12","2","62.03","3","caught",3,"South Africa","Durban",2006-03-24,50.2764705882353
"171",181,"Ricky Ponting","Australia",34,"62","40","5","1","85.00","3","caught",2,"South Africa","Johannesburg",2006-03-31,50.1812865497076
"172",182,"Ricky Ponting","Australia",20,"51","32","1","1","62.50","3","caught",4,"South Africa","Johannesburg",2006-03-31,50.0058139534884
"173",183,"Ricky Ponting","Australia",21,"40","32","3","0","65.62","3","lbw",2,"Bangladesh","Fatullah",2006-04-09,49.8381502890173
"174",184,"Ricky Ponting","Australia",118,"367","253","13","0","46.64","3","not out",4,"Bangladesh","Fatullah",2006-04-09,50.2298850574713
"175",185,"Ricky Ponting","Australia",52,"128","94","4","1","55.31","4","run out",2,"Bangladesh","Chattogram",2006-04-16,50.24
"176",186,"Ricky Ponting","Australia",196,"464","319","24","0","61.44","3","lbw",1,"England","Brisbane",2006-11-23,51.0681818181818
"177",187,"Ricky Ponting","Australia",60,"131","85","4","0","70.58","3","not out",3,"England","Brisbane",2006-11-23,51.1186440677966
"178",188,"Ricky Ponting","Australia",142,"353","245","12","0","57.95","3","caught",2,"England","Adelaide",2006-12-01,51.6292134831461
"179",189,"Ricky Ponting","Australia",49,"95","65","5","0","75.38","3","caught",4,"England","Adelaide",2006-12-01,51.6145251396648
"180",190,"Ricky Ponting","Australia",2,"19","11","0","0","18.18","3","lbw",1,"England","Perth",2006-12-14,51.3388888888889
"181",191,"Ricky Ponting","Australia",75,"194","128","9","0","58.59","3","caught",3,"England","Perth",2006-12-14,51.4696132596685
"182",192,"Ricky Ponting","Australia",7,"37","28","0","0","25.00","4","caught",2,"England","Melbourne",2006-12-26,51.2252747252747
"183",193,"Ricky Ponting","Australia",45,"96","72","6","0","62.50","3","run out",2,"England","Sydney",2007-01-02,51.1912568306011
"184",195,"Ricky Ponting","Australia",56,"128","85","7","0","65.88","3","stumped",1,"Sri Lanka","Brisbane",2007-11-08,51.2173913043478
"185",196,"Ricky Ponting","Australia",31,"94","66","2","0","46.96","3","caught",1,"Sri Lanka","Hobart",2007-11-16,51.1081081081081
"186",197,"Ricky Ponting","Australia",53,"137","102","2","1","51.96","3","not out",3,"Sri Lanka","Hobart",2007-11-16,51.1182795698925
"187",198,"Ricky Ponting","Australia",4,"21","13","0","0","30.76","3","bowled",1,"India","Melbourne",2007-12-26,50.8663101604278
"188",199,"Ricky Ponting","Australia",3,"9","7","0","0","42.85","3","caught",3,"India","Melbourne",2007-12-26,50.6117021276596
"189",200,"Ricky Ponting","Australia",55,"128","69","9","0","79.71","3","lbw",1,"India","Sydney",2008-01-02,50.6349206349206
"190",201,"Ricky Ponting","Australia",1,"7","4","0","0","25.00","3","caught",3,"India","Sydney",2008-01-02,50.3736842105263
"191",202,"Ricky Ponting","Australia",20,"50","35","2","0","57.14","3","caught",2,"India","Perth",2008-01-16,50.2146596858639
"192",203,"Ricky Ponting","Australia",45,"139","71","6","0","63.38","3","caught",4,"India","Perth",2008-01-16,50.1875
"193",204,"Ricky Ponting","Australia",140,"396","266","10","0","52.63","3","bowled",2,"India","Adelaide",2008-01-24,50.6528497409326
"194",205,"Ricky Ponting","Australia",158,"354","224","16","1","70.53","3","caught",1,"West Indies","Kingston",2008-05-22,51.2061855670103
"195",206,"Ricky Ponting","Australia",5,"6","7","0","0","71.42","3","caught",3,"West Indies","Kingston",2008-05-22,50.9692307692308
"196",207,"Ricky Ponting","Australia",65,"184","123","5","0","52.84","3","caught",1,"West Indies","North Sound",2008-05-30,51.0408163265306
"197",208,"Ricky Ponting","Australia",38,"88","48","4","0","79.16","3","lbw",3,"West Indies","North Sound",2008-05-30,50.9746192893401
"198",209,"Ricky Ponting","Australia",18,"31","21","0","2","85.71","3","lbw",1,"West Indies","Bridgetown",2008-06-12,50.8080808080808
"199",210,"Ricky Ponting","Australia",39,"94","72","2","1","54.16","3","caught",3,"West Indies","Bridgetown",2008-06-12,50.748743718593
"200",211,"Ricky Ponting","Australia",123,"331","243","13","0","50.61","3","lbw",1,"India","Bengaluru",2008-10-09,51.11
"201",212,"Ricky Ponting","Australia",17,"50","34","2","0","50.00","3","caught",3,"India","Bengaluru",2008-10-09,50.9402985074627
"202",213,"Ricky Ponting","Australia",5,"35","23","1","0","21.73","3","lbw",2,"India","Mohali",2008-10-17,50.7128712871287
"203",214,"Ricky Ponting","Australia",2,"16","11","0","0","18.18","3","bowled",4,"India","Mohali",2008-10-17,50.4729064039409
"204",215,"Ricky Ponting","Australia",87,"224","165","14","0","52.72","3","bowled",2,"India","Delhi",2008-10-29,50.6519607843137
"205",217,"Ricky Ponting","Australia",24,"45","41","3","0","58.53","3","bowled",2,"India","Nagpur",2008-11-06,50.5219512195122
"206",218,"Ricky Ponting","Australia",8,"7","6","2","0","133.33","3","run out",4,"India","Nagpur",2008-11-06,50.3155339805825
"207",219,"Ricky Ponting","Australia",4,"14","8","1","0","50.00","3","caught",1,"New Zealand","Brisbane",2008-11-20,50.0917874396135
"208",220,"Ricky Ponting","Australia",17,"35","26","0","0","65.38","3","caught",3,"New Zealand","Brisbane",2008-11-20,49.9326923076923
