,Name,Country,Runs,Mins,BF,4s,6s,SR,POS,Dismissal,Inns,Opposition,Ground,Date
107,Mahela Jayawardena,Sri Lanka,82,252,210,10,0,39.04,4,bowled,1,v South Africa,Colombo (SSC),11 Aug 2004
108,Mahela Jayawardena,Sri Lanka,3,10,5,0,0,60.00,4,caught,3,v South Africa,Colombo (SSC),11 Aug 2004
109,Mahela Jayawardena,Sri Lanka,0,4,5,0,0,0.00,4,caught,1,v Pakistan,Faisalabad,20 Oct 2004
110,Mahela Jayawardena,Sri Lanka,57,126,100,9,0,57.00,4,caught,3,v Pakistan,Faisalabad,20 Oct 2004
111,Mahela Jayawardena,Sri Lanka,16,44,46,3,0,34.78,4,caught,1,v Pakistan,Karachi,28 Oct 2004
112,Mahela Jayawardena,Sri Lanka,32,97,66,6,0,48.48,4,caught,3,v Pakistan,Karachi,28 Oct 2004
113,Mahela Jayawardena,Sri Lanka,141,342,243,19,1,58.02,4,caught,2,v New Zealand,Napier,4 Apr 2005
114,Mahela Jayawardena,Sri Lanka,DNB,-,-,-,-,-,-,-,4,v New Zealand,Napier,4 Apr 2005
115,Mahela Jayawardena,Sri Lanka,1,4,3,0,0,33.33,4,lbw,1,v New Zealand,Wellington,11 Apr 2005
116,Mahela Jayawardena,Sri Lanka,13,37,30,1,0,43.33,5,caught,3,v New Zealand,Wellington,11 Apr 2005
117,Mahela Jayawardena,Sri Lanka,3,53,24,0,0,12.50,4,caught,2,v West Indies,Colombo (SSC),13 Jul 2005
118,Mahela Jayawardena,Sri Lanka,41*,140,84,4,0,48.80,4,not out,4,v West Indies,Colombo (SSC),13 Jul 2005
119,Mahela Jayawardena,Sri Lanka,6,32,15,1,0,40.00,4,caught,1,v West Indies,Kandy,22 Jul 2005
120,Mahela Jayawardena,Sri Lanka,43,123,99,6,0,43.43,4,bowled,3,v West Indies,Kandy,22 Jul 2005
121,Mahela Jayawardena,Sri Lanka,63,145,120,7,1,52.50,5,caught,2,v Bangladesh,Colombo (RPS),12 Sep 2005
122,Mahela Jayawardena,Sri Lanka,2,14,8,0,0,25.00,4,bowled,1,v Bangladesh,Colombo (PSS),20 Sep 2005
123,Mahela Jayawardena,Sri Lanka,71,119,80,14,1,88.75,3,caught,2,v India,Chennai,2 Dec 2005
124,Mahela Jayawardena,Sri Lanka,60,125,103,9,0,58.25,4,lbw,2,v India,Delhi,10 Dec 2005
