,Name,Country,Runs,Mins,BF,4s,6s,SR,POS,Dismissal,Inns,Opposition,Ground,Date
281,Ricky Ponting,Australia,78,229,140,12,0,55.71,4,lbw,2,v New Zealand,Brisbane,1 Dec 2011
282,Ricky Ponting,Australia,DNB,-,-,-,-,-,-,-,4,v New Zealand,Brisbane,1 Dec 2011
283,Ricky Ponting,Australia,5,29,16,0,0,31.25,4,lbw,2,v New Zealand,Hobart,9 Dec 2011
284,Ricky Ponting,Australia,16,51,30,2,0,53.33,4,caught,4,v New Zealand,Hobart,9 Dec 2011
285,Ricky Ponting,Australia,62,148,94,6,0,65.95,4,caught,1,v India,Melbourne,26 Dec 2011
286,Ricky Ponting,Australia,60,151,97,3,0,61.85,4,caught,3,v India,Melbourne,26 Dec 2011
287,Ricky Ponting,Australia,134,332,225,14,0,59.55,4,caught,2,v India,Sydney,3 Jan 2012
288,Ricky Ponting,Australia,7,8,6,1,0,116.66,4,bowled,2,v India,Perth,13 Jan 2012
289,Ricky Ponting,Australia,221,516,404,21,0,54.70,4,caught,1,v India,Adelaide,24 Jan 2012
290,Ricky Ponting,Australia,60*,146,96,5,0,62.50,4,not out,3,v India,Adelaide,24 Jan 2012
291,Ricky Ponting,Australia,4,20,13,1,0,30.76,4,run out,2,v West Indies,Bridgetown,7 Apr 2012
292,Ricky Ponting,Australia,14,23,20,1,0,70.00,4,bowled,4,v West Indies,Bridgetown,7 Apr 2012
293,Ricky Ponting,Australia,7,30,26,0,0,26.92,4,caught,1,v West Indies,Port of Spain,15 Apr 2012
294,Ricky Ponting,Australia,41,131,85,3,0,48.23,4,caught,3,v West Indies,Port of Spain,15 Apr 2012
295,Ricky Ponting,Australia,23,88,60,2,0,38.33,4,caught,1,v West Indies,Roseau,23 Apr 2012
296,Ricky Ponting,Australia,57,192,130,4,0,43.84,4,caught,3,v West Indies,Roseau,23 Apr 2012
297,Ricky Ponting,Australia,0,9,5,0,0,0.00,4,caught,2,v South Africa,Brisbane,9 Nov 2012
298,Ricky Ponting,Australia,4,6,3,1,0,133.33,4,bowled,1,v South Africa,Adelaide,22 Nov 2012
299,Ricky Ponting,Australia,16,40,34,3,0,47.05,4,bowled,3,v South Africa,Adelaide,22 Nov 2012
300,Ricky Ponting,Australia,4,17,7,0,0,57.14,5,lbw,2,v South Africa,Perth,30 Nov 2012
301,Ricky Ponting,Australia,8,40,23,2,0,34.78,4,caught,4,v South Africa,Perth,30 Nov 2012
302,Sachin Tendulkar,India,15,28,24,2,0,62.50,6,bowled,2,v Pakistan,Karachi,15 Nov 1989
303,Sachin Tendulkar,India,DNB,-,-,-,-,-,-,-,4,v Pakistan,Karachi,15 Nov 1989
304,Sachin Tendulkar,India,59,254,172,4,0,34.30,6,lbw,1,v Pakistan,Faisalabad,23 Nov 1989
305,Sachin Tendulkar,India,8,24,16,1,0,50.00,6,run out,3,v Pakistan,Faisalabad,23 Nov 1989
306,Sachin Tendulkar,India,41,124,90,5,0,45.55,7,bowled,1,v Pakistan,Lahore,1 Dec 1989
307,Sachin Tendulkar,India,35,74,51,5,0,68.62,6,lbw,1,v Pakistan,Sialkot,9 Dec 1989
308,Sachin Tendulkar,India,57,193,134,6,0,42.53,6,caught,3,v Pakistan,Sialkot,9 Dec 1989
309,Sachin Tendulkar,India,0,1,1,0,0,0.00,6,caught,2,v New Zealand,Christchurch,2 Feb 1990
310,Sachin Tendulkar,India,24,50,44,3,0,54.54,6,caught,3,v New Zealand,Christchurch,2 Feb 1990
311,Sachin Tendulkar,India,88,324,266,5,0,33.08,6,caught,1,v New Zealand,Napier,9 Feb 1990
312,Sachin Tendulkar,India,5,15,13,1,0,38.46,6,caught,2,v New Zealand,Auckland,22 Feb 1990
